kelime	sıklık	tür	okunuş	çeviri	seviye
magic	3965	noun	/ˈmædʒɪk/	büyü	B1
starting	3966	noun	/ˈstɑrtɪŋ/	başlangıç	
diminish	3967	verb	/dɪˈmɪnɪʃ/	(önemini, boyutunu veya değerini) azaltmak	C1
inside	3968	noun	/ˌɪnˈsaɪd/	içeri	A2
readily	3969	adv.	/ˈredɪli/	kolayca	C1
elegant	3970	adj.	/ˈelɪɡənt/	zarif	B2
engagement	3971	noun	/ɪnˈɡeɪdʒmənt/	nişanlanmak	C1
rage	3972	noun	/reɪdʒ/	öfkelenmek	C1
destination	3973	noun	/ˌdestɪˈneɪʃn/	varış yeri	B1
realistic	3974	adj.	/ˌriːəˈlɪstɪk/	gerçekçi	B2
intent	3975	noun	/ɪnˈtent/	niyet	C1
metaphor	3976	noun	/ˈmetəfərˌˈmetəfɔːr/	metafor, mecaz	B2
automobile	3977	noun	/ˈɔːtəməbiːl/	otomobil	
productive	3978	adj.	/prəˈdʌktɪv/	üretken	C1
endorse	3979	verb	/ɪnˈdɔːrs/	uygun bulmak / (çek, belge vb) onaylamak	C1
isolate	3980	verb	/ˈaɪsəleɪt/	izole etmek	B2
confess	3981	verb	/kənˈfes/	itiraf etmek	B2
wilderness	3982	noun	/ˈwɪldərnəs/	el değmemiş doğa, ıssız yer	
minimize	3983	verb	/ˈmɪnɪmaɪz/	küçültmek	C1
diagnose	3984	verb	/ˌdaɪəɡˈnoʊs/	teşhis koymak	C1
happiness	3985	noun	/ˈhæpinəs/	mutluluk	B1
spectrum	3986	noun	/ˈspektrəm/	spektrum	C1
hint	3987	noun	/hɪnt/	ipucu	C1
eating	3988	noun	/ˈiːtɪŋ/	yemek yeme	
tune	3989	noun	/tuːn/	melodi	B2
volunteer	3990	verb	/ˌvɑːlənˈtɪr/	gönüllü olmak	B1
abstract	3991	adj.	/ˈæbstrækt/	soyut	B2
revolutionary	3992	adj.	/ˌrevəˈluːʃəneri/	devrimci	C1
gym	3993	noun	/dʒɪm/	Jimnastik	A1
addition	3994	noun	/əˈdɪʃn/	ilave	B1
Russian	3995	noun	/ˈrʌʃ(ə)n/	rusça / rus	
disappointed	3996	adj.	/ˌdɪsəˈpɔɪntɪd/	hüsrana uğramış	B1
particle	3997	noun	/ˈpɑːrtɪkl/	parçacık	
repair	3998	verb	/rɪˈper/	tamir etmek, onarmak	B1
dynamic	3999	adj.	/daɪˈnæmɪk/	dinamik	C1
pump	4000	verb	/pʌmp/	pompalamak	C1
kiss	4001	noun	/kɪs/	öpücük	B1
value	4002	verb	/ˈvæljuː/	değer vermek	B2
automatically	4003	adv.	/ˌɔːtəˈmætɪkli/	otomatik olarak	B1
overall	4004	adv.	/ˌoʊ.vɚˈɑːl/	etraflı	B2
dawn	4005	noun	/dɑːn/	şafak	C1
ruling	4006	noun	/ˈruːlɪŋ/	hükümdarlık	
mechanical	4007	adj.	/məˈkænɪkl/	mekanik	B2
feel	4008	noun	/fiːl/	his	B2
vitamin	4009	noun	/ˈvaɪtəmɪn/	vitamin	B2
silly	4010	adj.	/ˈsɪli/	saçma sapan	B1
handle	4011	noun	/ˈhændl/	kapı kolu	B2
artificial	4012	adj.	/ˌɑːrtɪˈfɪʃ(ə)l/	yapay	B2
outstanding	4013	adj.	/aʊtˈstændɪŋ/	üstün, seçkin	B2
age	4014	verb	/eɪdʒ/	yaşlanmak	B1
peel	4015	verb	/piːl/	soymak	
rescue	4016	noun	/ˈreskjuː/	kurtarma	B2
oral	4017	adj.	/ˈɔːrəl/	oral	C1
o’clock	4018	adv.	/IPA/	saat	
undertake	4019	verb	/ˌʌndərˈteɪk/	üstlenmek	B2
lonely	4020	adj.	/ˈloʊnli/	(duygusal) yalnız	B1
servant	4021	noun	/ˈsɜːrvənt/	hizmetçi	B1
indigenous	4022	adj.	/ɪnˈdɪdʒənəs/	yerli, yöreye özgü	C1
civic	4023	adj.	/ˈsɪvɪk/	sivil	C1
full-time	4024	adj.	/ˌfʊl ˈtaɪm/	tam zamanlı	
worry	4025	noun	/ˈwɜːri/	endişelenmek	B1
cooperate	4026	verb	/koʊˈɑːpəreɪt/	işbirliği yapmak	C1
casual	4027	adj.	/ˈkæʒuəl/	gündelik	B2
behavioral	4028	adj.	/bɪˈheɪvjərəl/	davranışsal	C1
shortage	4029	noun	/ˈʃɔːrtɪdʒ/	kıtlık	B2
reception	4030	noun	/rɪˈsepʃn/	resepsiyon	A2
offering	4031	noun	/ˈɑː.fɚ.ɪŋ/	teklif	C1
credibility	4033	noun	/ˌkredəˈbɪləti/	güvenilirlik	C1
chin	4034	noun	/tʃɪn/	çene	
physics	4035	noun	/ˈfɪzɪks/	fizik	A2
vanish	4036	verb	/ˈvænɪʃ/	ortadan kaybolmak	C1
blend	4037	verb	/blend/	harman	C1
noon	4038	noun	/nuːn/	öğle vakti	C1
precious	4039	adj.	/ˈpreʃəs/	değerli	B2
command	4040	verb	/kəˈmænd/	emretmek	B2
wake	4041	noun	/weɪk/	uyanık	A1
flip	4042	verb	/flɪp/	çevirmek (sayfa/disk vb.)	
scary	4043	adj.	/ˈskeri/	korkutucu	A2
pizza	4044	noun	/ˈpiːtsə/	Pizza	
toilet	4045	noun	/ˈtɔɪlət/	tuvalet	A1
representative	4046	adj.	/ˌreprɪˈzentətɪv/	temsilci	B2
silk	4047	noun	/sɪlk/	ipek	B2
bid	4048	noun	/bɪd/	fiyat teklifi	B2
gathering	4049	noun	/ˈɡæðərɪŋ/	toplama	C1
softly	4050	adv.	/ˈsɑːft.li/	usulca	
annually	4051	adv.	/ˈænjuəli/	yıllık	B2
hook	4052	verb	/hʊk/	çengel ile yakalamak	B2
suffering	4053	noun	/ˈsʌfərɪŋ/	cefa	B2
accuracy	4054	noun	/ˈækjərəsi/	kesinlik	B2
marine	4055	noun	/məˈriːn/	deniz askeri	C1
broker	4056	noun	/ˈbroʊkər/	komisyoncu	
hopefully	4057	adv.	/ˈhoʊpfəli/	inşallah	B2
descend	4058	verb	/dɪˈsend/	inmek	C1
tide	4059	noun	/taɪd/	gelgit, medcezir	C1
trail	4060	verb	/treɪl/	peşinden sürüklemek	C1
stumble	4061	verb	/ˈstʌmbl/	sendelemek	C1
verbal	4062	adj.	/ˈvɜːrbl/	sözlü	C1
spring	4063	verb	/sprɪŋ/	belirmek / birdenbire çıkan-açılan	B1
collector	4064	noun	/kəˈlektər/	koleksiyoncu	B2
judicial	4065	adj.	/dʒuˈdɪʃl/	adli	C1
burning	4066	adj.	/ˈbɜːrnɪŋ/	yanan	
inventory	4067	noun	/ˈɪnvəntɔːri/	envanter	C1
fool	4068	noun	/fuːl/	aptal	B2
way	4069	adv.	/weɪ/	yol	B2
loyalty	4070	noun	/ˈlɔɪəlti/	sadakat	C1
performer	4071	noun	/pərˈfɔːrmər/	oyuncu (yerine getiren kimse), icracı sanatçı	
kit	4072	noun	/kɪt/	takım, set	B2
romance	4073	noun	/ˈroʊmæns/	romantik	B2
quantity	4074	noun	/ˈkwɑːntəti/	miktar	A2
alleged	4075	adj.	/əˈledʒd/	iddia edilen, sözümona	
therapist	4076	noun	/ˈθerəpɪst/	terapist	B2
longtime	4077	adj.	/ˈlɔːŋtaɪm/	uzun süreli	C1
sink	4078	noun	/sɪŋk/	lavabo	B1
sentiment	4079	noun	/ˈsentɪmənt/	duygusallık	C1
sodium	4080	noun	/ˈsoʊdiəm/	sodyum	
seal	4081	verb	/siːl/	mühürlemek	
trailer	4082	noun	/ˈtreɪlər/	tanıtım videosu / römork	C1
spread	4083	noun	/spred/	yayılmış	B2
shared	4084	adj.	/ʃerd/	paylaşılan	
equity	4085	noun	/ˈekwəti/	eşitlik	
banking	4086	noun	/ˈbæŋkɪŋ/	bankacılık	
ridiculous	4087	adj.	/rɪˈdɪkjələs/	saçma	B2
processing	4088	noun	/ˈprɑːsesɪŋ/	işleme	C1
please	4089	verb	/pliːz/	memnun etmek	A2
dilemma	4090	noun	/dɪˈlemə; daɪˈlemə/	ikilem	C1
quest	4091	noun	/kwest/	arayış	C1
pillow	4092	noun	/ˈpɪloʊ/	yastık	
slice	4093	verb	/slaɪs/	dilimlemek	B1
shock	4094	verb	/ʃɑːk/	şok olmak	B2
lately	4095	adv.	/ˈleɪtli/	son zamanlarda	B2
laser	4096	noun	/ˈleɪzər/	lazer	C1
rigid	4097	adj.	/ˈrɪdʒɪd/	katı	
ours	4098	pronoun	/ˈaʊərz/	bizim	B1
prohibit	4099	verb	/prəˈhɪbɪtˌproʊˈhɪbɪt/	önlemek, önüne geçmek	B2
switch	4100	noun	/swɪtʃ/	anahtar / değişme	B2
genius	4101	noun	/ˈdʒiːniəs/	dahi	B2
starter	4102	noun	/ˈstɑːrtər/	marş / başlayıcı	
stem	4103	verb	/stem/	çıkmak, -dan gelmek	C1
primary	4104	noun	/ˈpraɪmeri/	ana,&nbsp;birincil	B1
cart	4105	noun	/kɑːrt/	el arabası	
trap	4106	noun	/træp/	tuzak	B2
Cuban	4107	adj.	/ˈkjuːbən/	Küba	
inmate	4108	noun	/ˈɪnmeɪt/	mahkum	C1
sacrifice	4109	noun	/ˈsækrɪfaɪs/	kurban	C1
officially	4110	adv.	/əˈfɪʃəli/	resmi olarak	
slap	4111	verb	/slæp/	tokat atmak	C1
credit	4112	verb	/ˈkredɪt/	kredi vermek	B2
mysterious	4113	adj.	/mɪˈstɪriəs/	gizemli	B2
Arab	4114	noun	/ˈærəb/	Arap	
specialize	4115	verb	/ˈspeʃəlaɪz/	uzmanlaşmak	B1
fork	4116	noun	/fɔːrk/	çatal	A2
invitation	4117	noun	/ˌɪnvɪˈteɪʃn/	davet	A2
sail	4118	verb	/seɪl/	denize açılmak	B1
regulatory	4119	adj.	/ˈreɡjələtɔːri/	düzenleyici	C1
cartoon	4120	noun	/kɑːrˈtuːn/	karikatür / çizgi film	A2
stiff	4121	adj.	/stɪf/	çetin	B2
courtroom	4122	noun	/ˈkɔːrtruːmˌˈkɔːrtrʊm/	mahkeme salonu	
import	4123	noun	/ˈɪmpɔːrt/	içe aktarmak	B1
tightly	4124	adv.	/ˈtaɪtli/	sıkıca	
flash	4125	noun	/flæʃ/	flaş	B2
equation	4126	noun	/ɪˈkweɪʒn/	denklem	C1
treasure	4127	noun	/ˈtreʒər/	hazine	B2
jaw	4128	noun	<font color="#ffffff">/dʒɑː/</font>	çene	
scan	4129	verb	/skæn/	taramak	B1
condemn	4130	verb	/kənˈdem/	kınamak	C1
improved	4131	adj.	/ɪmˈpruːvd/	gelişmiş	
pickup	4132	noun	/ˈpɪkʌp/	toplanma	
dignity	4133	noun	/ˈdɪɡnəti/	itibar	C1
inspiration	4134	noun	/ˌɪnspəˈreɪʃn/	esinlenme	C1
automatic	4135	adj.	/ˌɔːtəˈmætɪk/	otomatik	B1
merchant	4136	noun	/ˈmɜːrtʃənt/	tüccar	C1
Greek	4137	adj.	/ɡriːk/	Yunan	
hostile	4138	adj.	/ˈhɑːstlˌˈhɑːstaɪl/	düşmanca	C1
extended	4139	adj.	/ɪkˈstendɪd/	Genişletilmiş	
homeland	4140	noun	/ˈhoʊmlænd/	vatan	C1
gasoline	4141	noun	/ˈɡæsəliːn; ˌɡæsəˈliːn/	benzin	
gravity	4142	noun	/ˈɡrævəti/	yer çekimi	C1
defeat	4143	noun	/dɪˈfiːt/	yenilgi	B2
near	4144	adj.	/nɪr/	yakın	A1
thoroughly	4145	adv.	/ˈθɜːrəli/	iyice	B2
exchange	4146	verb	/ɪksˈtʃeɪndʒ/	değiş tokuş yapmak	B1
bow	4147	noun	/baʊ; boʊ/	yay	
glory	4148	noun	/ˈɡlɔːri/	Görkem	C1
reserve	4149	verb	/rɪˈzɜːrv/	rezerv etmek	B2
optimistic	4150	adj.	/ˌɑːptɪˈmɪstɪk/	iyimser	B2
sergeant	4151	noun	/ˈsɑːrdʒənt/	çavuş	
casualty	4152	noun	/ˈkæʒuəlti/	zayiat	C1
concede	4153	verb	/kənˈsiːd/	kabullenmek	C1
bloody	4154	adj.	/ˈblʌdi/	kanlı	
barn	4155	noun	/bɑːrn/	ahır	
donate	4156	verb	/ˈdoʊneɪt/	bağış yapmak	B1
unite	4157	verb	/juˈnaɪt/	birleştirmek	B2
pro	4158	noun	/proʊ/	profesyonel	
senior	4159	noun	/ˈsiːniər/	kıdemli	B2
feedback	4160	noun	/ˈfiːdbæk/	geri bildirim	B2
grief	4161	noun	/ɡriːf/	yas	C1
spite	4162	prepos.	/spaɪt/	inat	B2
steep	4163	adj.	/stiːp/	dik	B2
productivity	4164	noun	/ˌproʊdʌkˈtɪvətiˌˌprɑːdʌkˈtɪvəti/	üretkenlik	C1
conceive	4165	verb	/kənˈsiːv/	kafada kurmak / gebe kalmak	C1
tender	4166	adj.	/ˈtendər/	hassas, kolaylıkla incinen	C1
continent	4167	noun	/ˈkɑːntɪnənt/	kıta	A2
hardware	4168	noun	/ˈhɑːrdwer/	donanım	C1
equip	4169	verb	/ɪˈkwɪp/	donatmak, donanmak	B2
wagon	4170	noun	/ˈwæɡən/	vagon	
besides	4171	prepos.	/bɪˈsaɪdz/	dışında	B2
output	4172	noun	/ˈaʊtpʊt/	çıktı	B2
withdrawal	4173	noun	/wɪðˈdrɑː.əl/	para çekme	C1
elder	4174	noun	/ˈeldər/	yaşlı	
cage	4175	noun	/keɪdʒ/	kafes	
coastal	4176	adj.	/ˈkoʊstl/	kıyı ile ilgili	C1
patience	4177	noun	/ˈpeɪʃns/	sabır	B2
shallow	4178	adj.	/ˈʃæloʊ/	sığ	B2
earthquake	4179	noun	/ˈɜːrθkweɪk/	deprem	B1
voting	4180	noun	/ˈvoʊtɪŋ/	oylama	B2
input	4181	noun	/ˈɪnpʊt/	girdi	B2
canvas	4182	noun	/ˈkænvəs/	tuval	C1
slide	4183	noun	/slaɪd/	kaydırak / sürgü	B2
click	4184	verb	/klɪk/	tıklamak	B1
sword	4185	noun	/sɔːrd/	kılıç	C1
mate	4186	noun	/meɪt/	Dostum	B2
portfolio	4187	noun	/pɔːrtˈfoʊlioʊ/	portföy	C1
bug	4188	noun	/bʌɡ/	böcek	B2
refrigerator	4189	noun	/rɪˈfrɪdʒəreɪtər/	buzdolabı	A2
escape	4190	noun	/ɪˈskeɪp/	kaçış	B1
heat	4191	verb	/hiːt/	sıcaklık	A2
northeast	4192	noun	/ˌnɔːrθˈiːst/	kuzeydoğu	
seventh	4193	num.	/ˈsevnθ/	yedinci	
post	4194	verb	/poʊst/	postalamak	A1
combined	4195	adj.	/kəmˈbaɪnd/	birleşik	
alien	4196	noun	/ˈeɪliən/	yabancı // uzaylı	C1
willingness	4197	noun	/ˈwɪlɪŋnəs/	isteklilik	C1
hidden	4198	adj.	/ˈhɪdn/	gizlenmiş	B2
accounting	4199	noun	/əˈkaʊntɪŋ/	muhasebe	
sexually	4200	adv.	/ˈsekʃəli/	cinsel olarak	
chop	4201	verb	/tʃɑːp/	doğramak	B2
patrol	4202	noun	/pəˈtroʊl/	devriye	C1
symbolic	4203	adj.	/sɪmˈbɑːlɪk/	simgesel	C1
ruin	4204	verb	/ˈruːɪn/	mahvetmek	B2
rock	4205	verb	/IPA/	sallanmak	A2
drum	4206	noun	/drʌm/	davul	B1
opposed	4207	prepos.	/əˈpoʊzd/	karşı	B2
sheer	4208	adj.	/ʃɪr/	düpedüz	C1
ideological	4209	adj.	/ˌaɪdiəˈlɑːdʒɪklˌˌɪdiəˈlɑːdʒɪkl/	ideolojik	C1
discourage	4210	verb	/dɪsˈkɜːrɪdʒ/	cesaretini kırmak	B2
canal	4211	noun	/kəˈnæl/	kanal	B2
prior	4212	adj.	/ˈpraɪər/	önceki	B2
haul	4213	verb	/hɑːl/	(çok büyük/ağır bir şeyi) çekmek, taşımak	
protective	4214	adj.	/prəˈtektɪv/	koruyucu	C1
with regard to this	4215	prepos.	/rɪˈɡɑːrd/	buna ilişkin olarak	
conspiracy	4216	noun	/kənˈspɪrəsi/	komplo	B2
steam	4217	noun	/stiːm/	buhar	B2
embassy	4218	noun	/ˈembəsi/	elçilik	C1
tackle	4219	verb	/ˈtækl/	(bir problemi) ele almak	C1
tropical	4220	adj.	/ˈtrɑːpɪkl/	tropikal	B2
instantly	4221	adv.	/ˈɪnstəntli/	anında, aniden	B2
bubble	4222	noun	/ˈbʌbl/	kabarcık, balon	B1
calm	4223	verb	/kɑːm/	sakinleştirmek	B1
sheep	4224	noun	/ʃiːp/	koyun	A1
rent	4225	noun	/rent/	kira	B1
accent	4226	noun	/ˈæksent/	aksan	B2
grasp	4227	verb	/ɡræsp/	sıkı sıkı tutmak / kavramak	C1
modify	4228	verb	/ˈmɑːdɪfaɪ/	üzerine değişiklik yapmak	B2
grin	4229	verb	/ɡrɪn/	sırıtmak	C1
toxic	4230	adj.	/ˈtɑːksɪk/	toksik	C1
mixed	4231	adj.	/mɪkst/	karışık	B2
magnitude	4232	noun	/ˈmæɡnɪtuːd/	büyüklük	C1
afterward	4233	adv.	/ˈæftərwərd/	sonrasında	B2
root	4234	verb	/ruːt/	köklenmek	B2
progressive	4235	adj.	/prəˈɡresɪv/	ilerici	B2
manipulate	4236	verb	/məˈnɪpjuleɪt/	manipule etmek	C1
vaccine	4237	noun	/vækˈsiːn/	aşı	
monument	4238	noun	/ˈmɑːnjumənt/	anıt	B2
trace	4239	noun	/treɪs/	iz	C1
verdict	4240	noun	/ˈvɜːrdɪkt/	karar	C1
flexible	4241	adj.	/ˈfleksəbl/	esnek	B2
declaration	4242	noun	/ˌdekləˈreɪʃn/	beyanname	C1
costume	4243	noun	/ˈkɑːstuːm/	kostüm	B1
drawer	4244	noun	/drɔːr/	çekmece	
bless	4245	verb	/bles/	kutsamak	C1
rack	4246	noun	/ræk/	raf	
secure	4247	adj.	/sɪˈkjʊr/	güvenli, güvenceli	B2
position	4248	verb	/pəˈzɪʃn/	konumlandırmak	B2
deeper	4249	adj.	/diːpər/	daha derin	
divorce	4250	verb	/dɪˈvɔːrs/	boşanmak	B2
neutral	4251	adj.	/ˈnuːtrəl/	tarafsız, yansız, nötr	B2
fascinating	4252	adj.	/ˈfæsɪneɪtɪŋ/	büyüleyici	B1
terrific	4253	adj.	/təˈrɪfɪk/	müthiş	C1
sympathy	4254	noun	/ˈsɪmpəθi/	sempati	B2
draft	4255	verb	/dræft/	taslağını hazırlamak	B2
spectacular	4256	adj.	/spekˈtækjələr/	Muhteşem	B2
ounce	4257	noun	/aʊns/	ons	
rear	4258	adj.	/rɪr/	arka	C1
inn	4259	noun	/ɪn/	han	
collaboration	4260	noun	/kəˌlæbəˈreɪʃn/	işbirliği	C1
clip	4261	noun	/klɪp/	mandal, toka	B2
instruct	4262	verb	/ɪnˈstrʌkt/	direktif vermek	C1
sock	4263	noun	/sɑːk/	çorap	A2
rider	4264	noun	/ˈraɪdər/	binici	
revelation	4265	noun	/ˌrevəˈleɪʃn/	vahiy	C1
object	4266	verb	/ˈɑːbdʒɪkt/	karşı çıkmak	B2
accomplishment	4267	noun	/əˈkɑːmplɪʃmənt/	başarı	C1
seal	4268	noun	/siːl/	mühür / fok	
faint	4269	adj.	/feɪnt/	bayılma	
ease	4270	noun	/iːz/	kolaylaştırmak	C1
spell	4271	verb	/spel/	hecelemek	A1
gospel	4272	noun	/ˈɡɑːspl/	hz isa’bın öğrettikleri	
whale	4273	noun	/weɪl/	balina	
theatre	4274	noun	/ˈθiːətər/	tiyatro	
coordinator	4275	noun	/koʊˈɔːr.dən.eɪ.t̬ɚ/	koordinatör, eşgüdümcü	C1
talented	4276	adj.	/ˈtæləntɪd/	yetenekli	B1
alongside	4277	prepos.	/əˈlɑːŋ.saɪd/	ile yan yana	B2
cab	4278	noun	/kæb/	taksi	
isolation	4279	noun	/ˌaɪsəˈleɪʃn/	izolasyon	C1
costly	4280	adj.	/ˈkɑːst.li/	masraflı	C1
tragic	4281	adj.	/ˈtrædʒɪk/	trajik	B2
loud	4282	adj.	/laʊd/	yüksek (ses)	A2
instinct	4283	noun	/ˈɪnstɪŋkt/	içgüdü	C1
seat	4284	verb	/siːt/	oturtmak, oturmak	B2
intimate	4285	adj.	/ˈɪntɪmət; ˈɪntəmət; ˈɪntɪmeɪt/	sıkı fıkı	C1
underlying	4286	adj.	/ˌʌndərˈlaɪɪŋ/	altta yatan	C1
respect	4287	prepos.	/rɪˈspekt/	Saygı	B1
influential	4288	adj.	/ˌɪnfluˈenʃl/	etkili	C1
pastor	4289	noun	/ˈpæstər/	papaz	C1
presumably	4290	adv.	/prɪˈzuːməbli/	muhtemelen	C1
cook	4291	noun	/kʊk/	pişirmek	A2
skip	4292	verb	/skɪp/	(bir konudan diğerine) atlamak	C1
eleven	4293	num.	/ɪˈlevn/	on bir	A1
tens	4294	num.	/tenz/	onlarca	
whoever	4295	pronoun	/huːˈevər/	her kim	B2
ancestor	4296	noun	/ˈænsestər/	ata	B2
safely	4297	adv.	/ˈseɪfli/	güvenli bir şekilde	
nominee	4298	noun	/ˌnɑːmɪˈniː/	aday	C1
exotic	4299	adj.	/ɪɡˈzɑːtɪk/	egzotik	B2
minimal	4300	adj.	/ˈmɪnɪml/	asgari	C1
uncertain	4301	adj.	/ʌnˈsɜːrtn/	belirsiz	
Persian	4302	adj.	/ˈpɜːrʒən/	İranlı	
parental	4303	adj.	/pəˈrentl/	ebeveyn	C1
orchestra	4304	noun	/ˈɔːrkɪstrə/	orkestra	B2
treasury	4305	noun	/ˈtreʒəri/	hazine	
tolerate	4306	verb	/ˈtɑːləreɪt/	tahammül etmek	C1
gallon	4307	noun	/ˈɡælən/	galon	B2
thigh	4308	noun	/θaɪ/	kalça	
fortunately	4309	adv.	/ˈfɔːrtʃənətli/	neyse ki	A2
ambitious	4310	adj.	/æmˈbɪʃəs/	hırslı	B2
actively	4311	adv.	/ˈæktɪvli/	aktif olarak	
flexibility	4312	noun	/ˌfleksəˈbɪləti/	esneklik	C1
jar	4313	noun	/dʒɑːr/	kavanoz	
cocaine	4314	noun	/koʊˈkeɪn/	kokain	
incredibly	4315	adv.	/ɪnˈkredəbli/	inanılmaz şekilde	B1
consequently	4316	adv.	/ˈkɑːnsɪkwentli/	sonuç olarak	B2
documentary	4317	noun	/ˌdɑːkjuˈmentri/	belgesel	B1
charge	4318	prepos.	/tʃɑːrdʒ/	şarj etmek	B1
insert	4319	verb	/ɪnˈsɜːrt/	arasına sokmak	B2
ambition	4320	noun	/æmˈbɪʃ(ə)n/	hırs	B1
functional	4321	adj.	/ˈfʌŋkʃənl/	işlevsel	C1
bankruptcy	4322	noun	/ˈbæŋkrʌptsi/	iflas	C1
runner	4323	noun	/ˈrʌnər/	koşucu	A2
execution	4324	noun	/ˌeksɪˈkjuːʃn/	icra etme / infaz, idam	C1
crush	4325	verb	/krʌʃ/	ezmek, ezip geçmek	C1
buddy	4326	noun	/ˈbʌdi/	ahbap	C1
workplace	4327	noun	/ˈwɜːrkpleɪs/	iş yeri	B2
skull	4328	noun	/skʌl/	kafatası	B2
cord	4329	noun	/kɔːrd/	sicim, bağcık	
fixed	4330	adj.	/fɪkst/	sabit	B1
equivalent	4331	noun	/ɪˈkwɪvələnt/	eşdeğer	B2
casino	4332	noun	/kəˈsiːnoʊ/	kumarhane	C1
reliability	4333	noun	/rɪˌlaɪəˈbɪləti/	güvenilirlik	C1
expected	4334	adj.	/ɪkˈspektɪd/	beklenen	B1
boil	4335	verb	/bɔɪl/	kaynamak, kaynatmak, haşlamak	A2
whip	4336	verb	/wɪp/	kırbaçlamak	C1
divine	4337	adj.	/dɪˈvaɪn/	ilahi	C1
proposition	4338	noun	/ˌprɑːpəˈzɪʃn/	önerme	C1
census	4339	noun	/ˈsensəs/	nüfus sayımı	
correction	4340	noun	/kəˈrekʃn/	düzeltme	C1
jump	4341	noun	/dʒʌmp/	zıplamak	A2
diary	4342	noun	/ˈdaɪəri/	(defter) günlük	A2
nest	4343	noun	/nest/	yuva	C1
statute	4344	noun	/ˈstætʃuːt/	tüzük	
exam	4345	noun	/ɪɡˈzæm/	sınav	A1
metropolitan	4346	adj.	/ˌmetrəˈpɑːlɪtən/	büyükşehir	
star	4347	verb	/stɑːr/	yıldız olmak	A2
nutrition	4348	noun	/nuˈtrɪʃn/	beslenme	B2
breeze	4349	noun	/briːz/	meltem	
illusion	4350	noun	/ɪˈluːʒn/	yanılsama	B2
anonymous	4351	adj.	/əˈnɑːnɪməs/	anonim	C1
coup	4352	noun	/kuː/	askeri darbe, darbe	C1
midst	4353	noun	/mɪdst/	orta yer	C1
edit	4354	verb	/ˈedɪt/	(yazı) düzenlemek	B2
experienced	4355	adj.	/ɪkˈspɪriənst/	Tecrübeli	B1
castle	4356	noun	/ˈkæsl/	kale	B2
sort	4357	verb	/sɔːrt/	sıralamak	B1
exploit	4358	verb	/ɪkˈsplɔɪt/	faydalanmak	B2
jewelry	4359	noun	/ˈdʒuːəlri/	takı	A2
diabetes	4360	noun	/ˌdaɪəˈbiːtiːz/	şeker hastalığı	
translation	4361	noun	/trænzˈleɪʃn; trænsˈleɪʃn/	tercüme	B1
Dutch	4362	adj.	/dʌtʃ/	Flemenkçe	
upset	4363	adj.	/ˌʌpˈset/	üzgün	B1
harm	4364	verb	/hɑːrm/	zarar vermek	B2
irony	4365	noun	/ˈaɪrəni/	ironi	C1
associated	4366	adj.	/əˈsoʊsieɪtɪdˌəˈsoʊʃieɪtɪd/	birleşmiş	B2
utilize	4367	verb	/ˈjuːtəlaɪz/	faydalanmak	C1
rabbit	4368	noun	/ˈræbɪt/	tavşan	
soap	4369	noun	/soʊp/	sabun	A2
booth	4370	noun	/buːθ/	stand (fuar vb) / kabin	
minimum	4371	noun	/ˈmɪnɪməm/	asgari	B2
immune	4372	adj.	/ɪˈmjuːn/	bağışıklığı olan, bağışık	B2
gut	4373	noun	/ɡʌt/	bağırsak	C1
appreciation	4374	noun	/əˌpriːʃiˈeɪʃn/	takdir	C1
cast	4375	noun	/kæst/	döküm, (bir filmde, oyunda, gösteride oynayan aktörler)	B2
scramble	4376	verb	/ˈskræmbl/	sürünerek tırmanmak / kapışmak	
upstairs	4377	adv.	/ˌʌpˈsterz/	üst katta	A2
punch	4378	verb	/pʌntʃ/	yumruk atmak	C1
gross	4379	adj.	/ɡroʊs/	brüt	C1
liability	4380	noun	/ˌlaɪəˈbɪləti/	yükümlülük	
accessible	4381	adj.	/əkˈsesəbl/	erişilebilir	C1
mechanic	4382	noun	/məˈkænɪk/	tamirci	B2
ass	4383	noun	/æs/	kıç	
aesthetic	4384	adj.	/esˈθetɪk/	estetik	C1
dessert	4385	noun	/dɪˈzɜːrt/	tatlı	A2
waist	4386	noun	/weɪst/	bel	
alike	4387	adv.	/əˈlaɪk/	benzer	C1
brave	4388	adj.	/breɪv/	cesur	B1
loop	4389	noun	/luːp/	döngü	C1
passing	4390	adj.	/ˈpæsɪŋ/	geçen	C1
partially	4391	adv.	/ˈpɑːrʃəli/	kısmen	C1
statistical	4392	adj.	/stəˈtɪstɪkl/	istatistiksel	C1
correctly	4393	adv.	/kəˈrektli/	doğru şekilde	A2
pin	4394	noun	/pɪn/	toplu iğne, raptiye	B1
practitioner	4395	noun	/prækˈtɪʃənər/	uygulayıcı	C1
encouraging	4396	adj.	/ɪnˈkɜːrɪdʒɪŋ/	teşvik edici	C1
syndrome	4397	noun	/ˈsɪndroʊm/	sendrom	C1
tribal	4398	adj.	/ˈtraɪbl/	kabileye ait	C1
persist	4399	verb	/pərˈsɪst/	ısrar etmek, üstelemek&nbsp;	C1
trash	4400	noun	/træʃ/	çöp, değersiz şey	A2
teenage	4401	adj.	/ˈtiːneɪdʒ/	genç	A2
self-esteem	4402	noun	/ˌself ɪˈstiːm/	özgüven	
preliminary	4403	adj.	/prɪˈlɪmɪneri/	ön, ilk	C1
stay	4404	noun	/steɪ/	kalış	A2
